"sample","Sepal.Length","Sepal.Width","Petal.Length","Petal.Width","Species"
24,5.1,3.481,1.428,0.193,"setosa"
24,4.894,3.002,1.395,0.218,"setosa"
24,4.713,3.199,1.28,0.214,"setosa"
24,4.595,3.087,1.498,0.193,"setosa"
24,5,3.611,1.427,0.207,"setosa"
24,5.387,3.907,1.692,0.417,"setosa"
24,4.6,3.403,1.397,0.297,"setosa"
24,5.017,3.4,1.497,0.197,"setosa"
24,4.429,2.883,1.395,0.202,"setosa"
24,4.899,3.123,1.503,0.123,"setosa"
24,5.409,3.695,1.497,0.181,"setosa"
24,4.802,3.384,1.592,0.2,"setosa"
24,4.805,3.009,1.395,0.105,"setosa"
24,4.305,3.003,1.081,0.091,"setosa"
24,5.801,3.996,1.203,0.198,"setosa"
24,5.715,4.416,1.519,0.421,"setosa"
24,5.41,3.907,1.292,0.392,"setosa"
24,5.103,3.511,1.403,0.303,"setosa"
24,5.7,3.792,1.714,0.291,"setosa"
24,5.103,3.797,1.481,0.291,"setosa"
24,5.397,3.383,1.698,0.194,"setosa"
24,5.089,3.697,1.482,0.404,"setosa"
24,4.585,3.589,1.013,0.187,"setosa"
24,5.115,3.289,1.708,0.499,"setosa"
24,4.797,3.401,1.893,0.178,"setosa"
24,5,3.01,1.601,0.189,"setosa"
24,5.007,3.401,1.58,0.41,"setosa"
24,5.189,3.498,1.508,0.198,"setosa"
24,5.185,3.393,1.401,0.196,"setosa"
24,4.706,3.197,1.61,0.203,"setosa"
24,4.799,3.095,1.597,0.19,"setosa"
24,5.41,3.401,1.496,0.405,"setosa"
24,5.213,4.105,1.496,0.091,"setosa"
24,5.497,4.199,1.424,0.2,"setosa"
24,4.897,3.113,1.494,0.207,"setosa"
24,5.014,3.19,1.2,0.209,"setosa"
24,5.517,3.501,1.304,0.196,"setosa"
24,4.901,3.598,1.404,0.102,"setosa"
24,4.403,3.015,1.299,0.19,"setosa"
24,5.072,3.387,1.512,0.191,"setosa"
24,5.028,3.49,1.283,0.296,"setosa"
24,4.501,2.29,1.294,0.276,"setosa"
24,4.418,3.194,1.309,0.215,"setosa"
24,4.996,3.5,1.6,0.595,"setosa"
24,5.094,3.804,1.905,0.408,"setosa"
24,4.8,3.011,1.406,0.306,"setosa"
24,5.094,3.794,1.596,0.204,"setosa"
24,4.592,3.215,1.404,0.183,"setosa"
24,5.318,3.703,1.476,0.184,"setosa"
24,4.992,3.286,1.39,0.197,"setosa"
24,6.989,3.212,4.684,1.403,"versicolor"
24,6.401,3.201,4.493,1.498,"versicolor"
24,6.896,3.093,4.904,1.502,"versicolor"
24,5.514,2.306,4.007,1.297,"versicolor"
24,6.491,2.794,4.611,1.505,"versicolor"
24,5.695,2.797,4.509,1.296,"versicolor"
24,6.302,3.301,4.703,1.604,"versicolor"
24,4.901,2.405,3.31,1,"versicolor"
24,6.595,2.911,4.595,1.302,"versicolor"
24,5.192,2.707,3.901,1.416,"versicolor"
24,5.012,2.014,3.497,0.992,"versicolor"
24,5.895,3.009,4.196,1.491,"versicolor"
24,6.005,2.212,3.996,0.982,"versicolor"
24,6.078,2.891,4.695,1.416,"versicolor"
24,5.596,2.897,3.59,1.287,"versicolor"
24,6.693,3.098,4.397,1.399,"versicolor"
24,5.592,3.01,4.498,1.497,"versicolor"
24,5.803,2.713,4.098,0.999,"versicolor"
24,6.208,2.205,4.51,1.501,"versicolor"
24,5.601,2.51,3.881,1.093,"versicolor"
24,5.897,3.207,4.796,1.804,"versicolor"
24,6.103,2.796,4,1.295,"versicolor"
24,6.288,2.511,4.908,1.482,"versicolor"
24,6.098,2.794,4.688,1.214,"versicolor"
24,6.42,2.903,4.28,1.303,"versicolor"
24,6.594,2.994,4.418,1.381,"versicolor"
24,6.792,2.79,4.805,1.405,"versicolor"
24,6.706,3.001,5.013,1.685,"versicolor"
24,6.005,2.895,4.484,1.505,"versicolor"
24,5.721,2.605,3.497,1.003,"versicolor"
24,5.504,2.422,3.794,1.095,"versicolor"
24,5.517,2.401,3.706,0.993,"versicolor"
24,5.774,2.687,3.897,1.197,"versicolor"
24,6.004,2.698,5.102,1.585,"versicolor"
24,5.385,3.006,4.497,1.507,"versicolor"
24,6.003,3.402,4.494,1.6,"versicolor"
24,6.711,3.097,4.692,1.493,"versicolor"
